precision,recall,F1,method,data
0.010113268608414239,0.25,0.019440124416796267,decomp+IQR,ecg-type-pattern
0.010113268608414239,0.25,0.019440124416796267,decomp+Chang+IQR,ecg-type-pattern
0.5070422535211268,0.36,0.4210526315789474,Chang,ecg-type-platform
0.49333333333333335,0.37,0.4228571428571429,decomp+Chang,ecg-type-platform
0,0,0,decomp+IQR,ecg-type-platform
0.014829659318637275,0.37,0.028516377649325627,decomp+Chang+IQR,ecg-type-platform
0.4429530201342282,0.66,0.5301204819277109,Chang,ecg-type-trend
0.0182370820668693,0.06,0.027972027972027972,decomp+Chang,ecg-type-trend
0.0347444089456869,0.87,0.06682027649769585,decomp+IQR,ecg-type-trend
0.03473053892215569,0.87,0.06679462571976967,decomp+Chang+IQR,ecg-type-trend
0.7,0.42,0.525,Chang,ecg-type-variance
0.7,0.42,0.525,decomp+Chang,ecg-type-variance
0.009259259259259259,0.22,0.01777059773828756,decomp+IQR,ecg-type-variance
0.02269913330581923,0.55,0.04359889021006738,decomp+Chang+IQR,ecg-type-variance
0,0,0,Chang,poly-combined-diff-1
0,0,0,decomp+Chang,poly-combined-diff-1
0,0,0,decomp+IQR,poly-combined-diff-1
0,0,0,decomp+Chang+IQR,poly-combined-diff-1
0.5,0.005714285714285714,0.01129943502824859,Chang,poly-combined-diff-2
0.5,0.005714285714285714,0.01129943502824859,decomp+Chang,poly-combined-diff-2
0.22172949002217296,0.5714285714285714,0.3194888178913738,decomp+IQR,poly-combined-diff-2
0.22148394241417496,0.5714285714285714,0.31923383878691136,decomp+Chang+IQR,poly-combined-diff-2
0.0017035775127768314,0.0380952380952381,0.0032613126783530367,Chang,poly-combined-diff-3
0.07692307692307693,0.0380952380952381,0.050955414012738856,decomp+Chang,poly-combined-diff-3
0.3333333333333333,0.01904761904761905,0.036036036036036036,decomp+IQR,poly-combined-diff-3
0.07142857142857142,0.0380952380952381,0.049689440993788823,decomp+Chang+IQR,poly-combined-diff-3
0.07692307692307693,1,0.14285714285714288,Chang,poly-diff-count-1
0.043478260869565216,1,0.08333333333333333,decomp+Chang,poly-diff-count-1
0.05,1,0.09523809523809523,decomp+IQR,poly-diff-count-1
0.043478260869565216,1,0.08333333333333333,decomp+Chang+IQR,poly-diff-count-1
0.02987281869269447,1,0.05801263641585296,Chang,poly-diff-count-2
0.03225806451612903,0.009900990099009901,0.015151515151515152,decomp+Chang,poly-diff-count-2
0.07692307692307693,0.009900990099009901,0.017543859649122806,decomp+IQR,poly-diff-count-2
0.03225806451612903,0.009900990099009901,0.015151515151515152,decomp+Chang+IQR,poly-diff-count-2
0.016324551478907386,0.5024875621890548,0.031621790857858476,Chang,poly-diff-count-3
0.030303030303030304,0.004975124378109453,0.008547008547008546,decomp+Chang,poly-diff-count-3
0.045454545454545456,0.004975124378109453,0.008968609865470852,decomp+IQR,poly-diff-count-3
0.027777777777777776,0.004975124378109453,0.008438818565400845,decomp+Chang+IQR,poly-diff-count-3
0.5,0.03986710963455149,0.07384615384615384,Chang,poly-diff-count-4
0.5,0.0033222591362126247,0.006600660066006601,decomp+Chang,poly-diff-count-4
0.1669449081803005,0.6644518272425249,0.266844563042028,decomp+IQR,poly-diff-count-4
